episode,total_episodes,model_type,epsilon,per_beta,global_step,training_updates,agents,learning_rate,avg_reward,avg_queue,throughput,avg_travel_time,updates,loss,policy_loss,value_loss,time_of_day,global_congestion
1,100,DQN,0.9894294117647059,0.4,600,489.0,9,0.0001,0.0025944444444444435,38.333333333333336,275,199.44103392568658,489.0,0.021067845530366117,0.0,0.0,0.0,0.0
2,100,DQN,0.9788411764705882,0.40606060606060607,1200,600.0,9,0.0001,0.005363888888888889,36.0,276,191.76039933444258,600.0,0.02593665004086991,0.0,0.0,0.0,0.0
3,100,DQN,0.9682529411764705,0.41212121212121217,1800,600.0,9,0.0001,0.005077160493827163,36.111111111111114,264,192.88324873096445,600.0,0.03029674801044166,0.0,0.0,0.0,0.0
4,100,DQN,0.957664705882353,0.4181818181818182,2400,600.0,9,0.0001,0.0040262345679012365,34.55555555555556,292,183.6523178807947,600.0,0.0321641404616336,0.0,0.0,0.0,0.0
5,100,DQN,0.9470764705882353,0.42424242424242425,3000,600.0,9,0.0001,0.004533641975308644,35.888888888888886,275,200.3361064891847,600.0,0.03417256894055754,0.0,0.0,0.0,0.0
6,100,DQN,0.9364882352941176,0.4303030303030303,3600,600.0,9,0.0001,0.002227777777777777,38.111111111111114,258,200.36212624584718,600.0,0.03411671861540526,0.0,0.0,0.0,0.0
7,100,DQN,0.9259,0.4363636363636364,4200,600.0,9,0.0001,0.002456481481481483,37.77777777777778,265,203.04248366013073,600.0,0.03624141370722403,0.0,0.0,0.0,0.0
8,100,DQN,0.9153117647058824,0.44242424242424244,4800,600.0,9,0.0001,0.0046833333333333345,38.77777777777778,257,199.5275974025974,600.0,0.03634942960149298,0.0,0.0,0.0,0.0
9,100,DQN,0.9047235294117647,0.4484848484848485,5400,600.0,9,0.0001,0.005247530864197531,35.44444444444444,275,195.47563025210084,600.0,0.03795277106886109,0.0,0.0,0.0,0.0
10,100,DQN,0.894135294117647,0.4545454545454546,6000,600.0,9,0.0001,0.004048456790123457,37.22222222222222,285,197.4895666131621,600.0,0.03819937889308979,0.0,0.0,0.0,0.0
11,100,DQN,0.8835470588235295,0.46060606060606063,6600,600.0,9,0.0001,0.005833950617283951,36.77777777777778,300,192.19400630914828,600.0,0.03937580342714985,0.0,0.0,0.0,0.0
12,100,DQN,0.8729588235294118,0.4666666666666667,7200,600.0,9,0.0001,0.006216358024691359,39.111111111111114,267,209.95345104333867,600.0,0.03772406859012942,0.0,0.0,0.0,0.0
13,100,DQN,0.8623705882352941,0.4727272727272728,7800,600.0,9,0.0001,0.006537654320987657,36.111111111111114,273,180.90651085141903,600.0,0.04003003937813143,0.0,0.0,0.0,0.0
14,100,DQN,0.8517823529411764,0.4787878787878788,8400,600.0,9,0.0001,0.003274691358024692,36.44444444444444,265,190.21922428330524,600.0,0.04047676613554359,0.0,0.0,0.0,0.0
15,100,DQN,0.8411941176470588,0.48484848484848486,9000,600.0,9,0.0001,0.003839197530864197,36.0,255,199.92241379310346,600.0,0.040436534197069704,0.0,0.0,0.0,0.0
16,100,DQN,0.8306058823529412,0.49090909090909096,9600,600.0,9,0.0001,0.001249691358024691,39.666666666666664,301,198.3308042488619,600.0,0.04038817118853331,0.0,0.0,0.0,0.0
17,100,DQN,0.8200176470588235,0.496969696969697,10200,600.0,9,0.0001,0.0034981481481481465,35.666666666666664,250,207.83216783216784,600.0,0.03921330918868383,0.0,0.0,0.0,0.0
18,100,DQN,0.8094294117647058,0.503030303030303,10800,600.0,9,0.0001,0.002372222222222222,35.0,274,190.88006756756758,600.0,0.039012841602476936,0.0,0.0,0.0,0.0
19,100,DQN,0.7988411764705883,0.5090909090909091,11400,600.0,9,0.0001,0.004267592592592587,38.333333333333336,265,201.09344262295082,600.0,0.04125442870582143,0.0,0.0,0.0,0.0
20,100,DQN,0.7882529411764706,0.5151515151515151,12000,600.0,9,0.0001,0.004143827160493827,34.666666666666664,267,199.97934595524956,600.0,0.04216758923837915,0.0,0.0,0.0,0.0
21,100,DQN,0.7776647058823529,0.5212121212121212,12600,600.0,9,0.0001,0.0024811728395061714,35.666666666666664,250,203.09424083769633,600.0,0.04165651500535508,0.0,0.0,0.0,0.0
22,100,DQN,0.7670764705882352,0.5272727272727273,13200,600.0,9,0.0001,0.001282716049382716,35.666666666666664,265,198.8824531516184,600.0,0.03963849066446225,0.0,0.0,0.0,0.0
23,100,DQN,0.7564882352941177,0.5333333333333333,13800,600.0,9,0.0001,0.002923765432098764,34.888888888888886,274,191.95622895622895,600.0,0.04292969344028582,0.0,0.0,0.0,0.0
24,100,DQN,0.7459,0.5393939393939394,14400,600.0,9,0.0001,0.00203888888888889,38.77777777777778,257,198.03135313531354,600.0,0.042729503245403366,0.0,0.0,0.0,0.0
25,100,DQN,0.7353117647058823,0.5454545454545454,15000,600.0,9,0.0001,0.0030750000000000005,35.0,250,200.07231040564375,600.0,0.04394083889666945,0.0,0.0,0.0,0.0
26,100,DQN,0.7247235294117647,0.5515151515151515,15600,600.0,9,0.0001,0.0037561728395061763,37.111111111111114,243,208.84869565217392,600.0,0.04273373809022208,0.0,0.0,0.0,0.0
27,100,DQN,0.7141352941176471,0.5575757575757576,16200,600.0,9,0.0001,0.0024734567901234556,37.44444444444444,287,196.44212218649517,600.0,0.04352368519486238,0.0,0.0,0.0,0.0
28,100,DQN,0.7035470588235294,0.5636363636363636,16800,600.0,9,0.0001,0.002939814814814816,35.666666666666664,281,195.6710743801653,600.0,0.04165745576377958,0.0,0.0,0.0,0.0
29,100,DQN,0.6929588235294117,0.5696969696969697,17400,600.0,9,0.0001,0.0010228395061728384,33.55555555555556,252,183.93345323741008,600.0,0.04286196212905149,0.0,0.0,0.0,0.0
30,100,DQN,0.6823705882352942,0.5757575757575758,18000,600.0,9,0.0001,0.0047046296296296315,32.666666666666664,273,189.4021164021164,600.0,0.04142324791755527,0.0,0.0,0.0,0.0
31,100,DQN,0.6717823529411765,0.5818181818181818,18600,600.0,9,0.0001,0.0017858024691358024,36.77777777777778,273,189.8171334431631,600.0,0.04174528088731071,0.0,0.0,0.0,0.0
32,100,DQN,0.6611941176470588,0.5878787878787879,19200,600.0,9,0.0001,0.002833333333333333,37.666666666666664,249,198.81525423728814,600.0,0.04279232700200131,0.0,0.0,0.0,0.0
33,100,DQN,0.6506058823529411,0.593939393939394,19800,600.0,9,0.0001,0.000648148148148148,34.22222222222222,271,187.50346020761245,600.0,0.041879166960716245,0.0,0.0,0.0,0.0
34,100,DQN,0.6400176470588235,0.6,20400,600.0,9,0.0001,0.001947839506172841,35.888888888888886,261,200.62905982905983,600.0,0.04066054166605075,0.0,0.0,0.0,0.0
35,100,DQN,0.6294294117647059,0.6060606060606061,21000,600.0,9,0.0001,0.0048336419753086425,40.77777777777778,258,213.83546325878595,600.0,0.04192766150614868,0.0,0.0,0.0,0.0
36,100,DQN,0.6188411764705882,0.6121212121212122,21600,600.0,9,0.0001,0.0017552469135802468,37.77777777777778,263,203.9402985074627,600.0,0.04226600152906031,0.0,0.0,0.0,0.0
37,100,DQN,0.6082529411764706,0.6181818181818182,22200,600.0,9,0.0001,0.0036469135802469116,35.111111111111114,278,184.45454545454547,600.0,0.04223779602286716,0.0,0.0,0.0,0.0
38,100,DQN,0.597664705882353,0.6242424242424243,22800,600.0,9,0.0001,0.0034774691358024673,38.0,247,214.177065767285,600.0,0.04192745877895504,0.0,0.0,0.0,0.0
39,100,DQN,0.5870764705882353,0.6303030303030304,23400,600.0,9,0.0001,0.00299074074074074,34.44444444444444,307,180.677471636953,600.0,0.041177239708291985,0.0,0.0,0.0,0.0
40,100,DQN,0.5764882352941176,0.6363636363636364,24000,600.0,9,0.0001,0.00341851851851852,39.55555555555556,244,218.7358803986711,600.0,0.04098490656353533,0.0,0.0,0.0,0.0
41,100,DQN,0.5659000000000001,0.6424242424242425,24600,600.0,9,0.0001,0.0031700617283950587,36.888888888888886,270,199.46192052980132,600.0,0.04369091082519541,0.0,0.0,0.0,0.0
42,100,DQN,0.5553117647058823,0.6484848484848484,25200,600.0,9,0.0001,0.001859259259259258,36.44444444444444,250,212.25303292894282,600.0,0.04142994161384801,0.0,0.0,0.0,0.0
43,100,DQN,0.5447235294117647,0.6545454545454545,25800,600.0,9,0.0001,0.0037595679012345736,37.111111111111114,265,191.27242524916943,600.0,0.042542098325987654,0.0,0.0,0.0,0.0
44,100,DQN,0.5341352941176469,0.6606060606060606,26400,600.0,9,0.0001,0.0044391975308642,37.111111111111114,277,189.83333333333334,600.0,0.04259975353721529,0.0,0.0,0.0,0.0
45,100,DQN,0.5235470588235294,0.6666666666666667,27000,600.0,9,0.0001,0.0012691358024691354,33.0,243,192.5388888888889,600.0,0.04257503894002487,0.0,0.0,0.0,0.0
46,100,DQN,0.5129588235294118,0.6727272727272727,27600,600.0,9,0.0001,0.00041666666666666626,38.0,283,196.33386581469648,600.0,0.04123995489673689,0.0,0.0,0.0,0.0
47,100,DQN,0.502370588235294,0.6787878787878787,28200,600.0,9,0.0001,0.005801234567901237,38.666666666666664,276,202.03987240829346,600.0,0.044011088701275486,0.0,0.0,0.0,0.0
48,100,DQN,0.49178235294117645,0.6848484848484848,28800,600.0,9,0.0001,0.002668827160493828,34.22222222222222,258,196.7795414462081,600.0,0.04286963891703635,0.0,0.0,0.0,0.0
49,100,DQN,0.4811941176470589,0.6909090909090909,29400,600.0,9,0.0001,0.004249074074074072,38.55555555555556,262,198.77062706270627,600.0,0.04117441346558432,0.0,0.0,0.0,0.0
50,100,DQN,0.4706058823529411,0.696969696969697,30000,600.0,9,0.0001,0.0009123456790123455,37.888888888888886,256,195.4974958263773,600.0,0.041680574061659474,0.0,0.0,0.0,0.0
51,100,DQN,0.46001764705882353,0.7030303030303031,30600,600.0,9,0.0001,0.005201851851851856,34.44444444444444,300,171.57283142389525,600.0,0.04420156988936166,0.0,0.0,0.0,0.0
52,100,DQN,0.44942941176470586,0.7090909090909091,31200,600.0,9,0.0001,0.0026694444444444413,35.55555555555556,270,205.4090909090909,600.0,0.042880619576511285,0.0,0.0,0.0,0.0
53,100,DQN,0.4388411764705882,0.7151515151515152,31800,600.0,9,0.0001,0.0031580246913580257,38.333333333333336,273,199.69243156199678,600.0,0.04366741501260549,0.0,0.0,0.0,0.0
54,100,DQN,0.4282529411764706,0.7212121212121212,32400,600.0,9,0.0001,0.004812962962962966,37.55555555555556,261,198.70951585976627,600.0,0.04343158106319606,0.0,0.0,0.0,0.0
55,100,DQN,0.41766470588235294,0.7272727272727273,33000,600.0,9,0.0001,0.0021932098765432085,42.111111111111114,262,203.22464898595945,600.0,0.04377066441811621,0.0,0.0,0.0,0.0
56,100,DQN,0.40707647058823526,0.7333333333333334,33600,600.0,9,0.0001,0.004182098765432099,35.77777777777778,265,199.77908937605397,600.0,0.04384664059306184,0.0,0.0,0.0,0.0
57,100,DQN,0.3964882352941177,0.7393939393939394,34200,600.0,9,0.0001,0.002820370370370369,36.888888888888886,279,196.1484502446982,600.0,0.04286408839126428,0.0,0.0,0.0,0.0
58,100,DQN,0.3859,0.7454545454545455,34800,600.0,9,0.0001,0.0026209876543209915,38.111111111111114,302,193.8500772797527,600.0,0.04306226696508626,0.0,0.0,0.0,0.0
59,100,DQN,0.37531176470588234,0.7515151515151515,35400,600.0,9,0.0001,0.0042570987654321,39.888888888888886,266,204.1568,600.0,0.042027818684776626,0.0,0.0,0.0,0.0
60,100,DQN,0.36472352941176467,0.7575757575757576,36000,600.0,9,0.0001,0.0032663580246913558,31.0,268,198.471119133574,600.0,0.043129799800614516,0.0,0.0,0.0,0.0
61,100,DQN,0.354135294117647,0.7636363636363637,36600,600.0,9,0.0001,0.003147839506172838,37.333333333333336,284,201.93247588424438,600.0,0.04422427377818773,0.0,0.0,0.0,0.0
62,100,DQN,0.3435470588235294,0.7696969696969698,37200,600.0,9,0.0001,0.003963888888888887,39.22222222222222,258,206.39477977161502,600.0,0.04287544130968551,0.0,0.0,0.0,0.0
63,100,DQN,0.33295882352941175,0.7757575757575759,37800,600.0,9,0.0001,0.003952469135802473,37.22222222222222,280,192.82084690553745,600.0,0.04329183658119291,0.0,0.0,0.0,0.0
64,100,DQN,0.3223705882352941,0.7818181818181817,38400,600.0,9,0.0001,0.005074382716049385,37.333333333333336,263,201.4598662207358,600.0,0.04548553312352548,0.0,0.0,0.0,0.0
65,100,DQN,0.3117823529411764,0.7878787878787878,39000,600.0,9,0.0001,0.0007141975308641973,37.22222222222222,262,200.20603015075378,600.0,0.046170631040198105,0.0,0.0,0.0,0.0
66,100,DQN,0.30119411764705883,0.793939393939394,39600,600.0,9,0.0001,0.006493518518518519,37.666666666666664,278,204.90967741935484,600.0,0.04698388268705458,0.0,0.0,0.0,0.0
67,100,DQN,0.29060588235294116,0.8,40200,600.0,9,0.0001,0.0024240740740740715,40.333333333333336,250,216.4299674267101,600.0,0.04633628143463284,0.0,0.0,0.0,0.0
68,100,DQN,0.2800176470588235,0.8060606060606061,40800,600.0,9,0.0001,0.0044577160493827145,34.111111111111114,282,188.1747899159664,600.0,0.047280060462653636,0.0,0.0,0.0,0.0
69,100,DQN,0.2694294117647059,0.8121212121212121,41400,600.0,9,0.0001,0.00531111111111111,34.333333333333336,268,192.64236111111111,600.0,0.04537168533541262,0.0,0.0,0.0,0.0
70,100,DQN,0.25884117647058824,0.8181818181818182,42000,600.0,9,0.0001,0.0022425925925925933,34.44444444444444,274,192.12798634812287,600.0,0.04665510441021373,0.0,0.0,0.0,0.0
71,100,DQN,0.24825294117647057,0.8242424242424242,42600,600.0,9,0.0001,0.0030956790123456814,32.888888888888886,242,188.7806691449814,600.0,0.047061971379444005,0.0,0.0,0.0,0.0
72,100,DQN,0.2376647058823529,0.8303030303030303,43200,600.0,9,0.0001,0.005401234567901236,33.666666666666664,262,196.1552028218695,600.0,0.04637248966377228,0.0,0.0,0.0,0.0
73,100,DQN,0.2270764705882352,0.8363636363636364,43800,600.0,9,0.0001,0.004218209876543207,38.22222222222222,243,207.73253833049404,600.0,0.045986700700595975,0.0,0.0,0.0,0.0
74,100,DQN,0.21648823529411765,0.8424242424242424,44400,600.0,9,0.0001,0.0033459876543209875,34.888888888888886,272,192.46959459459458,600.0,0.04529900783362488,0.0,0.0,0.0,0.0
75,100,DQN,0.20589999999999997,0.8484848484848485,45000,600.0,9,0.0001,0.0020530864197530864,37.55555555555556,279,190.78282009724472,600.0,0.04655206096048156,0.0,0.0,0.0,0.0
76,100,DQN,0.1953117647058823,0.8545454545454545,45600,600.0,9,0.0001,0.00636327160493827,38.888888888888886,264,200.25285481239806,600.0,0.04765066974485914,0.0,0.0,0.0,0.0
77,100,DQN,0.18472352941176473,0.8606060606060606,46200,600.0,9,0.0001,0.004312654320987655,36.888888888888886,291,194.92443729903536,600.0,0.04779621152983358,0.0,0.0,0.0,0.0
78,100,DQN,0.17413529411764705,0.8666666666666667,46800,600.0,9,0.0001,0.0015787037037037041,38.333333333333336,277,199.0,600.0,0.04987156811946382,0.0,0.0,0.0,0.0
79,100,DQN,0.16354705882352938,0.8727272727272727,47400,600.0,9,0.0001,0.0025435185185185174,34.0,238,194.35110294117646,600.0,0.05013321329218646,0.0,0.0,0.0,0.0
