episode,total_episodes,model_type,epsilon,per_beta,global_step,training_updates,agents,learning_rate,gamma,avg_reward,avg_queue,throughput,avg_travel_time,updates,loss,policy_loss,value_loss,time_of_day,global_congestion
1,250,GAT-DQN-Base,0.9953567058823529,0.4,300,0.0,9,0.001,0.99,-0.2540283950617285,7.867407407407407,452,54.413716814159294,0.0,0.0,0.0,0.0,0.0,0.0
2,250,GAT-DQN-Base,0.9906978823529412,0.4024096385542169,600,0.0,9,0.001,0.99,-0.3392814814814815,10.506111111111112,441,51.64852607709751,0.0,0.0,0.0,0.0,0.0,0.0
3,250,GAT-DQN-Base,0.9860390588235294,0.40481927710843374,900,0.0,9,0.001,0.99,-0.3305185185185186,10.192592592592595,431,52.53364269141532,0.0,0.0,0.0,0.0,0.0,0.0
4,250,GAT-DQN-Base,0.9813802352941177,0.4072289156626506,1200,201.0,9,0.001,0.99,-0.36383333333333345,11.239907407407408,405,54.71604938271605,201.0,0.003210066038992404,0.0,0.0,0.0,0.0
5,250,GAT-DQN-Base,0.9767214117647058,0.4096385542168675,1500,300.0,9,0.001,0.99,-0.3628716049382717,11.23851851851852,407,53.5945945945946,300.0,0.0009722858702298254,0.0,0.0,0.0,0.0
6,250,GAT-DQN-Base,0.9720625882352941,0.41204819277108434,1800,300.0,9,0.001,0.99,-0.37712716049382716,11.6275,488,63.377049180327866,300.0,0.002815737644753729,0.0,0.0,0.0,0.0
7,250,GAT-DQN-Base,0.9674037647058824,0.41445783132530123,2100,300.0,9,0.001,0.99,-0.3416216049382716,10.507222222222222,445,52.63370786516854,300.0,0.004924698033525298,0.0,0.0,0.0,0.0
8,250,GAT-DQN-Base,0.9627449411764706,0.4168674698795181,2400,300.0,9,0.001,0.99,-0.3086265432098764,9.541574074074074,456,54.51315789473684,300.0,0.00782415245155183,0.0,0.0,0.0,0.0
9,250,GAT-DQN-Base,0.9580861176470589,0.41927710843373495,2700,300.0,9,0.001,0.99,-0.41593148148148174,12.875740740740742,403,60.121588089330025,300.0,0.010994896215076247,0.0,0.0,0.0,0.0
10,250,GAT-DQN-Base,0.953427294117647,0.42168674698795183,3000,300.0,9,0.001,0.99,-0.42456234567901235,13.060277777777777,426,50.640845070422536,300.0,0.012689763191156089,0.0,0.0,0.0,0.0
11,250,GAT-DQN-Base,0.9487684705882353,0.4240963855421687,3300,300.0,9,0.001,0.99,-0.42592098765432085,13.09064814814815,415,51.49156626506024,300.0,0.016576259355060755,0.0,0.0,0.0,0.0
12,250,GAT-DQN-Base,0.9441096470588235,0.42650602409638555,3600,300.0,9,0.001,0.99,-0.3548833333333333,10.970092592592593,417,48.959232613908874,300.0,0.022696378490266702,0.0,0.0,0.0,0.0
13,250,GAT-DQN-Base,0.9394508235294118,0.42891566265060244,3900,300.0,9,0.001,0.99,-0.3122302469135804,9.691759259259259,460,55.63260869565217,300.0,0.027500181139136354,0.0,0.0,0.0,0.0
14,250,GAT-DQN-Base,0.934792,0.43132530120481927,4200,300.0,9,0.001,0.99,-0.3188672839506173,9.912037037037038,518,55.40926640926641,300.0,0.026399396411143243,0.0,0.0,0.0,0.0
15,250,GAT-DQN-Base,0.9301331764705882,0.43373493975903615,4500,300.0,9,0.001,0.99,-0.3129481481481481,9.72324074074074,467,57.28265524625267,300.0,0.03019905253468702,0.0,0.0,0.0,0.0
16,250,GAT-DQN-Base,0.9254743529411764,0.43614457831325304,4800,300.0,9,0.001,0.99,-0.3218444444444445,9.972222222222221,458,57.16812227074236,300.0,0.03332654793591549,0.0,0.0,0.0,0.0
17,250,GAT-DQN-Base,0.9208155294117647,0.43855421686746987,5100,300.0,9,0.001,0.99,-0.3243876543209876,10.034166666666666,417,51.52038369304557,300.0,0.04086545907581846,0.0,0.0,0.0,0.0
18,250,GAT-DQN-Base,0.916156705882353,0.44096385542168676,5400,300.0,9,0.001,0.99,-0.3667055555555556,11.365833333333333,420,54.785714285714285,300.0,0.04302706349951525,0.0,0.0,0.0,0.0
19,250,GAT-DQN-Base,0.9114978823529412,0.44337349397590364,5700,300.0,9,0.001,0.99,-0.45809876543209876,14.119537037037038,405,51.46666666666667,300.0,0.04344168151107927,0.0,0.0,0.0,0.0
20,250,GAT-DQN-Base,0.9068390588235294,0.44578313253012053,6000,300.0,9,0.001,0.99,-0.38325308641975314,11.789629629629628,460,61.178260869565214,300.0,0.05255939687602222,0.0,0.0,0.0,0.0
