episode,total_episodes,model_type,epsilon,per_beta,global_step,training_updates,agents,learning_rate,gamma,avg_reward,avg_queue,throughput,avg_travel_time,updates,loss,policy_loss,value_loss,time_of_day,global_congestion
1,250,GAT-DQN,0.9953567058823529,0.4,300,0.0,9,0.001,0.99,-0.27177345679012355,8.415462962962962,413,50.47457627118644,0.0,0.0,0.0,0.0,0.0,0.0
2,250,GAT-DQN,0.9906978823529412,0.4024096385542169,600,0.0,9,0.001,0.99,-0.33785370370370366,10.482685185185186,473,56.09090909090909,0.0,0.0,0.0,0.0,0.0,0.0
3,250,GAT-DQN,0.9860390588235294,0.40481927710843374,900,0.0,9,0.001,0.99,-0.3519395061728395,10.818425925925924,425,50.58588235294118,0.0,0.0,0.0,0.0,0.0,0.0
4,250,GAT-DQN,0.9813802352941177,0.4072289156626506,1200,201.0,9,0.001,0.99,-0.32421666666666665,9.988981481481481,434,55.91244239631337,201.0,0.0029940929047216603,0.0,0.0,0.0,0.0
5,250,GAT-DQN,0.9767214117647058,0.4096385542168675,1500,300.0,9,0.001,0.99,-0.34984382716049384,10.772314814814814,415,51.81927710843374,300.0,0.0011079406487988308,0.0,0.0,0.0,0.0
6,250,GAT-DQN,0.9720625882352941,0.41204819277108434,1800,300.0,9,0.001,0.99,-0.407691975308642,12.493148148148146,415,48.62409638554217,300.0,0.003886366578517482,0.0,0.0,0.0,0.0
7,250,GAT-DQN,0.9674037647058824,0.41445783132530123,2100,300.0,9,0.001,0.99,-0.456148148148148,13.998703703703704,408,50.955882352941174,300.0,0.006779401312426974,0.0,0.0,0.0,0.0
8,250,GAT-DQN,0.9627449411764706,0.4168674698795181,2400,300.0,9,0.001,0.99,-0.30329259259259267,9.379444444444443,443,54.70428893905192,300.0,0.022351113032006348,0.0,0.0,0.0,0.0
9,250,GAT-DQN,0.9580861176470589,0.41927710843373495,2700,300.0,9,0.001,0.99,-0.31180370370370364,9.622870370370372,458,48.43886462882096,300.0,0.056628194670192894,0.0,0.0,0.0,0.0
10,250,GAT-DQN,0.953427294117647,0.42168674698795183,3000,300.0,9,0.001,0.99,-0.26950123456790104,8.345925925925926,449,50.066815144766146,300.0,0.03460889215425899,0.0,0.0,0.0,0.0
11,250,GAT-DQN,0.9487684705882353,0.4240963855421687,3300,300.0,9,0.001,0.99,-0.4190796296296296,12.889814814814814,416,48.54326923076923,300.0,0.02736029731264959,0.0,0.0,0.0,0.0
12,250,GAT-DQN,0.9441096470588235,0.42650602409638555,3600,300.0,9,0.001,0.99,-0.28159629629629623,8.744351851851853,554,53.792418772563174,300.0,0.029591592450160534,0.0,0.0,0.0,0.0
13,250,GAT-DQN,0.9394508235294118,0.42891566265060244,3900,300.0,9,0.001,0.99,-0.3109191358024691,9.587962962962962,491,54.54175152749491,300.0,0.02723850612528622,0.0,0.0,0.0,0.0
14,250,GAT-DQN,0.934792,0.43132530120481927,4200,300.0,9,0.001,0.99,-0.3806660493827161,11.702777777777778,455,60.81978021978022,300.0,0.024636979118610423,0.0,0.0,0.0,0.0
15,250,GAT-DQN,0.9301331764705882,0.43373493975903615,4500,300.0,9,0.001,0.99,-0.3741648148148146,11.598796296296296,453,51.16997792494481,300.0,0.028200221026005844,0.0,0.0,0.0,0.0
16,250,GAT-DQN,0.9254743529411764,0.43614457831325304,4800,300.0,9,0.001,0.99,-0.4158827160493826,12.812129629629629,384,51.989583333333336,300.0,0.03248725667285422,0.0,0.0,0.0,0.0
17,250,GAT-DQN,0.9208155294117647,0.43855421686746987,5100,300.0,9,0.001,0.99,-0.38708086419753107,11.9125,460,52.754347826086956,300.0,0.043115132019544644,0.0,0.0,0.0,0.0
18,250,GAT-DQN,0.916156705882353,0.44096385542168676,5400,300.0,9,0.001,0.99,-0.36245493827160485,11.149537037037037,486,62.77366255144033,300.0,0.0416729734527568,0.0,0.0,0.0,0.0
19,250,GAT-DQN,0.9114978823529412,0.44337349397590364,5700,300.0,9,0.001,0.99,-0.2962530864197532,9.156481481481482,434,52.46082949308756,300.0,0.04366448043535153,0.0,0.0,0.0,0.0
20,250,GAT-DQN,0.9068390588235294,0.44578313253012053,6000,300.0,9,0.001,0.99,-0.41894567901234564,12.856481481481481,381,48.06824146981627,300.0,0.04677426208741963,0.0,0.0,0.0,0.0
21,250,GAT-DQN,0.9021802352941176,0.44819277108433736,6300,300.0,9,0.001,0.99,-0.3691956790123456,11.409444444444444,444,52.193693693693696,300.0,0.06008720357281466,0.0,0.0,0.0,0.0
22,250,GAT-DQN,0.8975214117647059,0.45060240963855425,6600,300.0,9,0.001,0.99,-0.38099753086419746,11.721296296296295,443,54.9706546275395,300.0,0.04973703473651161,0.0,0.0,0.0,0.0
