episode,total_episodes,model_type,epsilon,per_beta,global_step,training_updates,agents,learning_rate,gamma,avg_reward,avg_queue,throughput,avg_travel_time,updates,loss,policy_loss,value_loss,time_of_day,global_congestion
1,250,GNN-DQN,0.9953567058823529,0.4,300,0.0,9,0.001,0.99,-0.3187419753086419,9.886203703703705,482,108.93430656934306,0.0,0.0,0.0,0.0,0.0,0.0
2,250,GNN-DQN,0.9906978823529412,0.4024096385542169,600,0.0,9,0.001,0.99,-0.45490740740740754,13.980277777777777,434,112.61241379310344,0.0,0.0,0.0,0.0,0.0,0.0
3,250,GNN-DQN,0.9860390588235294,0.40481927710843374,900,0.0,9,0.001,0.99,-0.33892962962962975,10.437685185185185,420,110.0314371257485,0.0,0.0,0.0,0.0,0.0,0.0
4,250,GNN-DQN,0.9813802352941177,0.4072289156626506,1200,201.0,9,0.001,0.99,-0.3110234567901236,9.676296296296295,512,102.44379562043795,201.0,0.004172194460105726,0.0,0.0,0.0,0.0
5,250,GNN-DQN,0.9767214117647058,0.4096385542168675,1500,300.0,9,0.001,0.99,-0.3316851851851852,10.276203703703704,428,116.48228043143297,300.0,0.0008141690986424994,0.0,0.0,0.0,0.0
6,250,GNN-DQN,0.9720625882352941,0.41204819277108434,1800,300.0,9,0.001,0.99,-0.34567283950617295,10.72888888888889,470,107.45086705202313,300.0,0.002513594264649631,0.0,0.0,0.0,0.0
7,250,GNN-DQN,0.9674037647058824,0.41445783132530123,2100,300.0,9,0.001,0.99,-0.3679086419753085,11.302407407407406,482,117.8314606741573,300.0,0.006303442105224046,0.0,0.0,0.0,0.0
8,250,GNN-DQN,0.9627449411764706,0.4168674698795181,2400,300.0,9,0.001,0.99,-0.36933827160493826,11.355833333333333,516,104.9943342776204,300.0,0.0075615235844937465,0.0,0.0,0.0,0.0
9,250,GNN-DQN,0.9580861176470589,0.41927710843373495,2700,300.0,9,0.001,0.99,-0.3534135802469137,10.920185185185186,459,111.78066378066379,300.0,0.010371707187732681,0.0,0.0,0.0,0.0
10,250,GNN-DQN,0.953427294117647,0.42168674698795183,3000,300.0,9,0.001,0.99,-0.3638641975308641,11.285277777777777,432,109.35066864784547,300.0,0.015321982231301566,0.0,0.0,0.0,0.0
11,250,GNN-DQN,0.9487684705882353,0.4240963855421687,3300,300.0,9,0.001,0.99,-0.3326975308641974,10.269907407407409,472,103.56413994169097,300.0,0.017945132755363982,0.0,0.0,0.0,0.0
12,250,GNN-DQN,0.9441096470588235,0.42650602409638555,3600,300.0,9,0.001,0.99,-0.342025925925926,10.649814814814814,426,112.77659574468085,300.0,0.020813669958151877,0.0,0.0,0.0,0.0
13,250,GNN-DQN,0.9394508235294118,0.42891566265060244,3900,300.0,9,0.001,0.99,-0.36208086419753094,11.188796296296298,511,114.09129213483146,300.0,0.02634823942789808,0.0,0.0,0.0,0.0
14,250,GNN-DQN,0.934792,0.43132530120481927,4200,300.0,9,0.001,0.99,-0.38514197530864214,11.91814814814815,436,115.79722222222222,300.0,0.03501206997316331,0.0,0.0,0.0,0.0
15,250,GNN-DQN,0.9301331764705882,0.43373493975903615,4500,300.0,9,0.001,0.99,-0.33992098765432105,10.420648148148148,449,114.5210843373494,300.0,0.03700546745986988,0.0,0.0,0.0,0.0
16,250,GNN-DQN,0.9254743529411764,0.43614457831325304,4800,300.0,9,0.001,0.99,-0.32358148148148147,9.985000000000001,468,106.76407914764079,300.0,0.0363492877719303,0.0,0.0,0.0,0.0
17,250,GNN-DQN,0.9208155294117647,0.43855421686746987,5100,300.0,9,0.001,0.99,-0.30313950617283947,9.360833333333334,471,106.86363636363636,300.0,0.04085605918895453,0.0,0.0,0.0,0.0
18,250,GNN-DQN,0.916156705882353,0.44096385542168676,5400,300.0,9,0.001,0.99,-0.33479629629629637,10.392685185185185,425,109.21706586826348,300.0,0.04090585248544812,0.0,0.0,0.0,0.0
19,250,GNN-DQN,0.9114978823529412,0.44337349397590364,5700,300.0,9,0.001,0.99,-0.3676993827160495,11.419722222222221,488,113.21551724137932,300.0,0.04480030230867366,0.0,0.0,0.0,0.0
20,250,GNN-DQN,0.9068390588235294,0.44578313253012053,6000,300.0,9,0.001,0.99,-0.3181858024691358,9.83537037037037,445,109.25193199381762,300.0,0.052137352330610155,0.0,0.0,0.0,0.0
21,250,GNN-DQN,0.9021802352941176,0.44819277108433736,6300,300.0,9,0.001,0.99,-0.46128456790123473,14.266481481481481,435,106.50069156293223,300.0,0.04983856443005304,0.0,0.0,0.0,0.0
22,250,GNN-DQN,0.8975214117647059,0.45060240963855425,6600,300.0,9,0.001,0.99,-0.30663209876543207,9.4675,489,106.51420029895367,300.0,0.054850821786870556,0.0,0.0,0.0,0.0
23,250,GNN-DQN,0.8928625882352941,0.4530120481927711,6900,300.0,9,0.001,0.99,-0.44425987654320986,13.679351851851852,416,110.55853314527504,300.0,0.060244711035241684,0.0,0.0,0.0,0.0
24,250,GNN-DQN,0.8882037647058824,0.45542168674698796,7200,300.0,9,0.001,0.99,-0.3180000000000001,9.861944444444445,417,106.5079365079365,300.0,0.06044297045407196,0.0,0.0,0.0,0.0
25,250,GNN-DQN,0.8835449411764706,0.45783132530120485,7500,300.0,9,0.001,0.99,-0.3004746913580245,9.303703703703704,428,117.7624060150376,300.0,0.06182230649205545,0.0,0.0,0.0,0.0
26,250,GNN-DQN,0.8788861176470588,0.4602409638554217,7800,300.0,9,0.001,0.99,-0.3704018518518521,11.516388888888889,500,106.91690544412607,300.0,0.073099800903971,0.0,0.0,0.0,0.0
