episode,total_episodes,model_type,epsilon,per_beta,global_step,training_updates,agents,learning_rate,gamma,avg_reward,avg_queue,throughput,avg_travel_time,updates,loss,policy_loss,value_loss,time_of_day,global_congestion
1,50,DQN,0.9767835294117647,0.4,300,189.0,9,0.001,0.99,-0.4351796296296296,13.470740740740741,526,115.21586475942783,189.0,0.03324812922685865,0.0,0.0,0.0,0.0
2,50,DQN,0.9534894117647059,0.4122448979591837,600,300.0,9,0.001,0.99,-0.4417456790123461,13.628703703703705,473,118.98727735368956,300.0,0.03492072202886144,0.0,0.0,0.0,0.0
3,50,DQN,0.930195294117647,0.4244897959183674,900,300.0,9,0.001,0.99,-0.41385740740740706,12.743518518518517,552,117.3423980222497,300.0,0.03210638139707347,0.0,0.0,0.0,0.0
4,50,DQN,0.9069011764705882,0.43673469387755104,1200,300.0,9,0.001,0.99,-0.38052345679012345,11.730648148148148,503,114.13509933774834,300.0,0.02894652481811742,0.0,0.0,0.0,0.0
5,50,DQN,0.8836070588235294,0.4489795918367347,1500,300.0,9,0.001,0.99,-0.48787839506172836,15.063055555555557,513,115.82758620689656,300.0,0.026726726706450186,0.0,0.0,0.0,0.0
6,50,DQN,0.8603129411764706,0.4612244897959184,1800,300.0,9,0.001,0.99,-0.4958654320987655,15.37212962962963,437,115.82722513089006,300.0,0.02676205636623005,0.0,0.0,0.0,0.0
7,50,DQN,0.8370188235294118,0.47346938775510206,2100,300.0,9,0.001,0.99,-0.4255796296296296,13.12351851851852,456,123.17768595041322,300.0,0.02522397997789085,0.0,0.0,0.0,0.0
8,50,DQN,0.8137247058823529,0.4857142857142857,2400,300.0,9,0.001,0.99,-0.4472358024691359,13.874259259259258,550,119.8839177750907,300.0,0.028889184889073175,0.0,0.0,0.0,0.0
9,50,DQN,0.7904305882352941,0.4979591836734694,2700,300.0,9,0.001,0.99,-0.43349814814814824,13.378703703703705,553,115.59347553324969,300.0,0.03072933485110601,0.0,0.0,0.0,0.0
10,50,DQN,0.7671364705882353,0.5102040816326531,3000,300.0,9,0.001,0.99,-0.42329444444444453,13.101388888888888,546,115.41708542713567,300.0,0.03898787271852295,0.0,0.0,0.0,0.0
11,50,DQN,0.7438423529411764,0.5224489795918368,3300,300.0,9,0.001,0.99,-0.4316104938271606,13.438518518518519,547,119.65555555555555,300.0,0.04629020178069671,0.0,0.0,0.0,0.0
12,50,DQN,0.7205482352941177,0.5346938775510204,3600,300.0,9,0.001,0.99,-0.39863456790123464,12.385925925925928,526,125.97128589263421,300.0,0.05274806248024106,0.0,0.0,0.0,0.0
13,50,DQN,0.6972541176470588,0.5469387755102041,3900,300.0,9,0.001,0.99,-0.45720185185185197,14.131481481481485,488,115.30698287220027,300.0,0.06229954378058513,0.0,0.0,0.0,0.0
14,50,DQN,0.67396,0.5591836734693878,4200,300.0,9,0.001,0.99,-0.36199012345679016,11.31712962962963,452,115.81190798376184,300.0,0.07035747734208901,0.0,0.0,0.0,0.0
15,50,DQN,0.6506658823529412,0.5714285714285714,4500,300.0,9,0.001,0.99,-0.4869432098765437,15.042592592592591,575,115.00596658711217,300.0,0.07774336571494739,0.0,0.0,0.0,0.0
16,50,DQN,0.6273717647058824,0.5836734693877551,4800,300.0,9,0.001,0.99,-0.5068617283950616,15.622314814814818,445,112.84635416666667,300.0,0.08734694444884857,0.0,0.0,0.0,0.0
17,50,DQN,0.6040776470588236,0.5959183673469388,5100,300.0,9,0.001,0.99,-0.45936111111111105,14.146759259259257,533,112.72962962962963,300.0,0.09634254567325115,0.0,0.0,0.0,0.0
18,50,DQN,0.5807835294117647,0.6081632653061224,5400,300.0,9,0.001,0.99,-0.5035666666666666,15.57537037037037,469,112.5290404040404,300.0,0.11192841081569592,0.0,0.0,0.0,0.0
19,50,DQN,0.5574894117647059,0.6204081632653061,5700,300.0,9,0.001,0.99,-0.3796277777777776,11.669537037037038,527,113.46153846153847,300.0,0.12329712763428688,0.0,0.0,0.0,0.0
