episode,total_episodes,model_type,epsilon,per_beta,global_step,training_updates,agents,learning_rate,gamma,avg_reward,avg_queue,throughput,avg_travel_time,updates,loss,policy_loss,value_loss,time_of_day,global_congestion
1,250,DQN,0.9953567058823529,0.4,300,189.0,9,0.001,0.99,-0.3248135802469137,9.960925925925928,399,109.290756302521,189.0,0.022719450201346445,0.0,0.0,0.0,0.0
2,250,DQN,0.9906978823529412,0.4024096385542169,600,300.0,9,0.001,0.99,-0.29191728395061733,9.053425925925927,472,108.64074650077761,300.0,0.019788360092788934,0.0,0.0,0.0,0.0
3,250,DQN,0.9860390588235294,0.40481927710843374,900,300.0,9,0.001,0.99,-0.4303993827160494,13.272407407407407,387,111.57163531114327,300.0,0.019389561004936696,0.0,0.0,0.0,0.0
4,250,DQN,0.9813802352941177,0.4072289156626506,1200,300.0,9,0.001,0.99,-0.31867901234567925,9.84148148148148,479,104.35347432024169,300.0,0.023565832457194725,0.0,0.0,0.0,0.0
5,250,DQN,0.9767214117647058,0.4096385542168675,1500,300.0,9,0.001,0.99,-0.2920580246913581,8.988611111111112,510,103.32267884322678,300.0,0.02366137663833797,0.0,0.0,0.0,0.0
6,250,DQN,0.9720625882352941,0.41204819277108434,1800,300.0,9,0.001,0.99,-0.33785740740740766,10.523518518518518,494,108.41857142857143,300.0,0.018905901502196988,0.0,0.0,0.0,0.0
7,250,DQN,0.9674037647058824,0.41445783132530123,2100,300.0,9,0.001,0.99,-0.3934962962962963,12.078796296296296,411,117.86266094420601,300.0,0.02281311313311259,0.0,0.0,0.0,0.0
8,250,DQN,0.9627449411764706,0.4168674698795181,2400,300.0,9,0.001,0.99,-0.35890493827160486,11.080833333333334,443,105.16184971098266,300.0,0.024213760973264775,0.0,0.0,0.0,0.0
9,250,DQN,0.9580861176470589,0.41927710843373495,2700,300.0,9,0.001,0.99,-0.3682407407407407,11.345740740740741,493,110.14471780028944,300.0,0.026969326067095,0.0,0.0,0.0,0.0
10,250,DQN,0.953427294117647,0.42168674698795183,3000,300.0,9,0.001,0.99,-0.36477901234567894,11.224629629629629,368,109.61172741679873,300.0,0.031022277027368546,0.0,0.0,0.0,0.0
11,250,DQN,0.9487684705882353,0.4240963855421687,3300,300.0,9,0.001,0.99,-0.3118493827160494,9.593425925925924,461,113.3125,300.0,0.03600805243477225,0.0,0.0,0.0,0.0
12,250,DQN,0.9441096470588235,0.42650602409638555,3600,300.0,9,0.001,0.99,-0.26299320987654307,8.141944444444443,510,97.4553706505295,300.0,0.043801370449364184,0.0,0.0,0.0,0.0
13,250,DQN,0.9394508235294118,0.42891566265060244,3900,300.0,9,0.001,0.99,-0.3225716049382716,9.94601851851852,457,110.52193645990923,300.0,0.045274747007836895,0.0,0.0,0.0,0.0
14,250,DQN,0.934792,0.43132530120481927,4200,300.0,9,0.001,0.99,-0.2977327160493826,9.178703703703704,468,115.66473149492018,300.0,0.05441333818559845,0.0,0.0,0.0,0.0
15,250,DQN,0.9301331764705882,0.43373493975903615,4500,300.0,9,0.001,0.99,-0.29475370370370374,9.08824074074074,513,105.20088626292467,300.0,0.059411301960547766,0.0,0.0,0.0,0.0
16,250,DQN,0.9254743529411764,0.43614457831325304,4800,300.0,9,0.001,0.99,-0.3435104938271605,10.578796296296296,391,116.92458521870286,300.0,0.06730986509472131,0.0,0.0,0.0,0.0
17,250,DQN,0.9208155294117647,0.43855421686746987,5100,300.0,9,0.001,0.99,-0.3962012345679011,12.273333333333333,387,104.45068285280729,300.0,0.07620468503485123,0.0,0.0,0.0,0.0
18,250,DQN,0.916156705882353,0.44096385542168676,5400,300.0,9,0.001,0.99,-0.2653203703703703,8.219351851851853,489,105.6125574272588,300.0,0.08577610411991676,0.0,0.0,0.0,0.0
19,250,DQN,0.9114978823529412,0.44337349397590364,5700,300.0,9,0.001,0.99,-0.3529907407407404,10.878055555555557,436,106.24556213017752,300.0,0.09325444371749958,0.0,0.0,0.0,0.0
20,250,DQN,0.9068390588235294,0.44578313253012053,6000,300.0,9,0.001,0.99,-0.3953043209876542,12.193055555555556,427,114.39154929577465,300.0,0.10272767926255862,0.0,0.0,0.0,0.0
21,250,DQN,0.9021802352941176,0.44819277108433736,6300,300.0,9,0.001,0.99,-0.35836604938271616,11.099074074074075,433,113.63570391872278,300.0,0.11291042777399223,0.0,0.0,0.0,0.0
