episode,total_episodes,model_type,epsilon,per_beta,global_step,training_updates,agents,learning_rate,gamma,avg_reward,avg_queue,throughput,avg_travel_time,updates,loss,policy_loss,value_loss,time_of_day,global_congestion
1,50,GAT-DQN-Base,0.9767835294117647,0.4,300,0.0,9,0.001,0.99,-0.4484166666666667,13.975092592592592,476,119.20737913486005,0.0,0.0,0.0,0.0,0.0,0.0
2,50,GAT-DQN-Base,0.9534894117647059,0.4122448979591837,600,0.0,9,0.001,0.99,-0.5144598765432101,15.809629629629631,446,113.55327342747111,0.0,0.0,0.0,0.0,0.0,0.0
3,50,GAT-DQN-Base,0.930195294117647,0.4244897959183674,900,0.0,9,0.001,0.99,-0.5355006172839505,16.627222222222223,473,115.7795371498173,0.0,0.0,0.0,0.0,0.0,0.0
4,50,GAT-DQN-Base,0.9069011764705882,0.43673469387755104,1200,201.0,9,0.001,0.99,-0.427451234567901,13.175740740740741,532,120.33840304182509,201.0,0.007600956080673698,0.0,0.0,0.0,0.0
5,50,GAT-DQN-Base,0.8836070588235294,0.4489795918367347,1500,300.0,9,0.001,0.99,-0.5222777777777778,16.3,457,122.96486825595984,300.0,0.001583503016154282,0.0,0.0,0.0,0.0
6,50,GAT-DQN-Base,0.8603129411764706,0.4612244897959184,1800,300.0,9,0.001,0.99,-0.4274401234567897,13.229722222222223,453,117.98013245033113,300.0,0.004530691561910013,0.0,0.0,0.0,0.0
7,50,GAT-DQN-Base,0.8370188235294118,0.47346938775510206,2100,300.0,9,0.001,0.99,-0.4101030864197532,12.605000000000002,519,118.84196891191709,300.0,0.007980242986232042,0.0,0.0,0.0,0.0
8,50,GAT-DQN-Base,0.8137247058823529,0.4857142857142857,2400,300.0,9,0.001,0.99,-0.5407567901234569,16.842685185185186,425,119.71717171717172,300.0,0.012048936498661835,0.0,0.0,0.0,0.0
9,50,GAT-DQN-Base,0.7904305882352941,0.4979591836734694,2700,300.0,9,0.001,0.99,-0.4164777777777777,12.876203703703704,519,117.72623574144487,300.0,0.017664465565855304,0.0,0.0,0.0,0.0
10,50,GAT-DQN-Base,0.7671364705882353,0.5102040816326531,3000,300.0,9,0.001,0.99,-0.43675000000000014,13.502685185185186,501,114.58195679796697,300.0,0.020624727430598188,0.0,0.0,0.0,0.0
11,50,GAT-DQN-Base,0.7438423529411764,0.5224489795918368,3300,300.0,9,0.001,0.99,-0.436243209876543,13.479907407407408,535,121.44647201946472,300.0,0.022611091528087855,0.0,0.0,0.0,0.0
12,50,GAT-DQN-Base,0.7205482352941177,0.5346938775510204,3600,300.0,9,0.001,0.99,-0.44912777777777774,13.82472222222222,506,121.68717277486911,300.0,0.02859026187254737,0.0,0.0,0.0,0.0
13,50,GAT-DQN-Base,0.6972541176470588,0.5469387755102041,3900,300.0,9,0.001,0.99,-0.45340308641975297,14.024166666666666,537,123.59186189889026,300.0,0.031404085475951436,0.0,0.0,0.0,0.0
14,50,GAT-DQN-Base,0.67396,0.5591836734693878,4200,300.0,9,0.001,0.99,-0.42901913580246914,13.2725,495,120.80686149936467,300.0,0.036222579108240706,0.0,0.0,0.0,0.0
15,50,GAT-DQN-Base,0.6506658823529412,0.5714285714285714,4500,300.0,9,0.001,0.99,-0.5028401234567897,15.474629629629629,443,114.62627551020408,300.0,0.0421552958789592,0.0,0.0,0.0,0.0
