episode,total_episodes,model_type,epsilon,per_beta,global_step,training_updates,agents,learning_rate,gamma,avg_reward,avg_queue,throughput,avg_travel_time,updates,loss,policy_loss,value_loss,time_of_day,global_congestion
1,50,GAT-DQN,0.9767835294117647,0.4,300,0.0,9,0.001,0.99,-0.4603209876543209,14.307962962962963,478,117.46666666666667,0.0,0.0,0.0,0.0,0.0,0.0
2,50,GAT-DQN,0.9534894117647059,0.4122448979591837,600,0.0,9,0.001,0.99,-0.44397283950617294,13.708796296296295,485,118.51,0.0,0.0,0.0,0.0,0.0,0.0
3,50,GAT-DQN,0.930195294117647,0.4244897959183674,900,0.0,9,0.001,0.99,-0.5030753086419758,15.575277777777776,467,108.73946360153256,0.0,0.0,0.0,0.0,0.0,0.0
4,50,GAT-DQN,0.9069011764705882,0.43673469387755104,1200,201.0,9,0.001,0.99,-0.48759567901234513,15.043055555555556,423,117.99084967320262,201.0,0.004832114448912201,0.0,0.0,0.0,0.0
5,50,GAT-DQN,0.8836070588235294,0.4489795918367347,1500,300.0,9,0.001,0.99,-0.5038685185185188,15.608148148148148,471,123.2920245398773,300.0,0.002779902394201296,0.0,0.0,0.0,0.0
6,50,GAT-DQN,0.8603129411764706,0.4612244897959184,1800,300.0,9,0.001,0.99,-0.366833950617284,11.355925925925925,532,110.47536617842876,300.0,0.0077882035030052066,0.0,0.0,0.0,0.0
7,50,GAT-DQN,0.8370188235294118,0.47346938775510206,2100,300.0,9,0.001,0.99,-0.4431197530864197,13.661203703703704,559,119.0848938826467,300.0,0.013499822140826533,0.0,0.0,0.0,0.0
8,50,GAT-DQN,0.8137247058823529,0.4857142857142857,2400,300.0,9,0.001,0.99,-0.44999197530864204,13.972685185185185,489,118.8877928483354,300.0,0.02041305342533936,0.0,0.0,0.0,0.0
9,50,GAT-DQN,0.7904305882352941,0.4979591836734694,2700,300.0,9,0.001,0.99,-0.3587512345679013,11.041111111111112,541,108.95405405405405,300.0,0.026831590835936368,0.0,0.0,0.0,0.0
10,50,GAT-DQN,0.7671364705882353,0.5102040816326531,3000,300.0,9,0.001,0.99,-0.4299925925925925,13.250462962962962,554,117.87577639751552,300.0,0.027071114460316795,0.0,0.0,0.0,0.0
11,50,GAT-DQN,0.7438423529411764,0.5224489795918368,3300,300.0,9,0.001,0.99,-0.37679814814814816,11.694259259259258,484,116.28722002635047,300.0,0.03222720433957875,0.0,0.0,0.0,0.0
12,50,GAT-DQN,0.7205482352941177,0.5346938775510204,3600,300.0,9,0.001,0.99,-0.3919728395061728,12.12351851851852,512,117.04849279161206,300.0,0.04407677893682072,0.0,0.0,0.0,0.0
13,50,GAT-DQN,0.6972541176470588,0.5469387755102041,3900,300.0,9,0.001,0.99,-0.38958703703703707,12.055925925925926,564,115.4438839848676,300.0,0.04318583299716314,0.0,0.0,0.0,0.0
