episode,total_episodes,model_type,epsilon,per_beta,global_step,training_updates,agents,learning_rate,gamma,avg_reward,avg_queue,throughput,avg_travel_time,updates,loss,policy_loss,value_loss,time_of_day,global_congestion
1,250,GAT-DQN,0.9953567058823529,0.4,300,0.0,9,0.001,0.99,-0.3697061728395061,11.495648148148147,412,51.67718446601942,0.0,0.0,0.0,0.0,0.0,0.0
2,250,GAT-DQN,0.9906978823529412,0.4024096385542169,600,0.0,9,0.001,0.99,-0.37589753086419764,11.581851851851852,407,50.761670761670764,0.0,0.0,0.0,0.0,0.0,0.0
3,250,GAT-DQN,0.9860390588235294,0.40481927710843374,900,0.0,9,0.001,0.99,-0.35206234567901246,10.829537037037039,488,61.192622950819676,0.0,0.0,0.0,0.0,0.0,0.0
4,250,GAT-DQN,0.9813802352941177,0.4072289156626506,1200,201.0,9,0.001,0.99,-0.35252962962962975,10.982592592592592,506,60.46837944664031,201.0,0.003306549830728243,0.0,0.0,0.0,0.0
5,250,GAT-DQN,0.9767214117647058,0.4096385542168675,1500,300.0,9,0.001,0.99,-0.31953950617283944,9.900555555555554,503,56.015904572564615,300.0,0.001089797784128071,0.0,0.0,0.0,0.0
6,250,GAT-DQN,0.9720625882352941,0.41204819277108434,1800,300.0,9,0.001,0.99,-0.4064376543209878,12.502500000000001,461,57.431670281995665,300.0,0.004548751601832919,0.0,0.0,0.0,0.0
7,250,GAT-DQN,0.9674037647058824,0.41445783132530123,2100,300.0,9,0.001,0.99,-0.32977530864197535,10.175370370370372,462,54.307359307359306,300.0,0.007058330861618742,0.0,0.0,0.0,0.0
8,250,GAT-DQN,0.9627449411764706,0.4168674698795181,2400,300.0,9,0.001,0.99,-0.299746913580247,9.24962962962963,500,55.76,300.0,0.012284663690564534,0.0,0.0,0.0,0.0
9,250,GAT-DQN,0.9580861176470589,0.41927710843373495,2700,300.0,9,0.001,0.99,-0.3541160493827162,10.934351851851854,501,59.924151696606785,300.0,0.015053266774242123,0.0,0.0,0.0,0.0
10,250,GAT-DQN,0.953427294117647,0.42168674698795183,3000,300.0,9,0.001,0.99,-0.35510617283950613,10.989907407407408,441,49.625850340136054,300.0,0.020731909351889045,0.0,0.0,0.0,0.0
11,250,GAT-DQN,0.9487684705882353,0.4240963855421687,3300,300.0,9,0.001,0.99,-0.3653888888888889,11.258055555555556,524,61.097328244274806,300.0,0.03141565687954426,0.0,0.0,0.0,0.0
12,250,GAT-DQN,0.9441096470588235,0.42650602409638555,3600,300.0,9,0.001,0.99,-0.3465086419753086,10.641296296296296,419,48.739856801909305,300.0,0.030477029137934247,0.0,0.0,0.0,0.0
13,250,GAT-DQN,0.9394508235294118,0.42891566265060244,3900,300.0,9,0.001,0.99,-0.37399444444444446,11.5325,413,51.813559322033896,300.0,0.02775247285918643,0.0,0.0,0.0,0.0
14,250,GAT-DQN,0.934792,0.43132530120481927,4200,300.0,9,0.001,0.99,-0.3807135802469136,11.765092592592593,417,50.94244604316547,300.0,0.0514095374988392,0.0,0.0,0.0,0.0
