episode,total_episodes,model_type,epsilon,per_beta,global_step,training_updates,agents,learning_rate,gamma,avg_reward,avg_queue,throughput,avg_travel_time,updates,loss,policy_loss,value_loss,time_of_day,global_congestion
1,50,GNN-DQN,0.9767835294117647,0.4,300,0.0,9,0.001,0.99,-0.45796296296296296,14.224814814814815,496,118.84074074074074,0.0,0.0,0.0,0.0,0.0,0.0
2,50,GNN-DQN,0.9534894117647059,0.4122448979591837,600,0.0,9,0.001,0.99,-0.5368703703703707,16.63101851851852,442,111.03156565656566,0.0,0.0,0.0,0.0,0.0,0.0
3,50,GNN-DQN,0.930195294117647,0.4244897959183674,900,0.0,9,0.001,0.99,-0.3585265432098764,11.076666666666668,513,114.56593406593407,0.0,0.0,0.0,0.0,0.0,0.0
4,50,GNN-DQN,0.9069011764705882,0.43673469387755104,1200,201.0,9,0.001,0.99,-0.4086574074074077,12.627962962962963,516,117.93963254593176,201.0,0.006134892593338316,0.0,0.0,0.0,0.0
5,50,GNN-DQN,0.8836070588235294,0.4489795918367347,1500,300.0,9,0.001,0.99,-0.4932734567901235,15.30888888888889,515,116.38217338217338,300.0,0.001102586739580147,0.0,0.0,0.0,0.0
6,50,GNN-DQN,0.8603129411764706,0.4612244897959184,1800,300.0,9,0.001,0.99,-0.41737962962962954,12.893333333333333,509,121.54199475065617,300.0,0.0036934555189994476,0.0,0.0,0.0,0.0
7,50,GNN-DQN,0.8370188235294118,0.47346938775510206,2100,300.0,9,0.001,0.99,-0.5748277777777779,17.59324074074074,450,113.77142857142857,300.0,0.006690274129699295,0.0,0.0,0.0,0.0
8,50,GNN-DQN,0.8137247058823529,0.4857142857142857,2400,300.0,9,0.001,0.99,-0.4897462962962963,15.139166666666666,449,115.5077519379845,300.0,0.009560248799389229,0.0,0.0,0.0,0.0
9,50,GNN-DQN,0.7904305882352941,0.4979591836734694,2700,300.0,9,0.001,0.99,-0.38312345679012355,11.824166666666667,514,111.80026631158455,300.0,0.019001340299534302,0.0,0.0,0.0,0.0
10,50,GNN-DQN,0.7671364705882353,0.5102040816326531,3000,300.0,9,0.001,0.99,-0.46997839506172845,14.585370370370372,422,117.53183023872678,300.0,0.019665387672139333,0.0,0.0,0.0,0.0
11,50,GNN-DQN,0.7438423529411764,0.5224489795918368,3300,300.0,9,0.001,0.99,-0.39522283950617276,12.136388888888888,561,111.06161745827984,300.0,0.022128532169541967,0.0,0.0,0.0,0.0
12,50,GNN-DQN,0.7205482352941177,0.5346938775510204,3600,300.0,9,0.001,0.99,-0.49598641975308644,15.226481481481482,428,112.25394736842105,300.0,0.026581245133808502,0.0,0.0,0.0,0.0
13,50,GNN-DQN,0.6972541176470588,0.5469387755102041,3900,300.0,9,0.001,0.99,-0.4477129629629628,13.821296296296296,460,120.14505776636713,300.0,0.030722357316408308,0.0,0.0,0.0,0.0
14,50,GNN-DQN,0.67396,0.5591836734693878,4200,300.0,9,0.001,0.99,-0.4889592592592592,15.185648148148148,457,119.13032581453633,300.0,0.036054864699641864,0.0,0.0,0.0,0.0
15,50,GNN-DQN,0.6506658823529412,0.5714285714285714,4500,300.0,9,0.001,0.99,-0.4647179012345679,14.362407407407408,480,116.0748031496063,300.0,0.03916319851297885,0.0,0.0,0.0,0.0
16,50,GNN-DQN,0.6273717647058824,0.5836734693877551,4800,300.0,9,0.001,0.99,-0.5069660493827164,15.707407407407409,440,114.03363518758086,300.0,0.04624305329285562,0.0,0.0,0.0,0.0
17,50,GNN-DQN,0.6040776470588236,0.5959183673469388,5100,300.0,9,0.001,0.99,-0.4542759259259259,13.981944444444446,465,112.3,300.0,0.04754261065429698,0.0,0.0,0.0,0.0
