episode,total_episodes,model_type,epsilon,per_beta,global_step,training_updates,agents,learning_rate,gamma,avg_reward,avg_queue,throughput,avg_travel_time,updates,loss,policy_loss,value_loss,time_of_day,global_congestion
1,250,GNN-DQN,0.9953567058823529,0.4,300,0.0,9,0.001,0.99,-0.25353518518518525,7.847129629629629,449,54.02449888641426,0.0,0.0,0.0,0.0,0.0,0.0
2,250,GNN-DQN,0.9906978823529412,0.4024096385542169,600,0.0,9,0.001,0.99,-0.3414969135802468,10.545925925925927,449,51.200445434298445,0.0,0.0,0.0,0.0,0.0,0.0
3,250,GNN-DQN,0.9860390588235294,0.40481927710843374,900,0.0,9,0.001,0.99,-0.3399148148148146,10.493425925925926,411,49.523114355231144,0.0,0.0,0.0,0.0,0.0,0.0
4,250,GNN-DQN,0.9813802352941177,0.4072289156626506,1200,201.0,9,0.001,0.99,-0.38778518518518545,12.014074074074074,419,51.343675417661096,201.0,0.0016439072396814713,0.0,0.0,0.0,0.0
5,250,GNN-DQN,0.9767214117647058,0.4096385542168675,1500,300.0,9,0.001,0.99,-0.3357956790123458,10.367962962962963,488,58.81352459016394,300.0,0.0014170938233534496,0.0,0.0,0.0,0.0
6,250,GNN-DQN,0.9720625882352941,0.41204819277108434,1800,300.0,9,0.001,0.99,-0.4288703703703704,13.21111111111111,384,46.65625,300.0,0.003296314306013907,0.0,0.0,0.0,0.0
7,250,GNN-DQN,0.9674037647058824,0.41445783132530123,2100,300.0,9,0.001,0.99,-0.3446037037037036,10.626666666666667,480,56.52708333333333,300.0,0.0061400105187203735,0.0,0.0,0.0,0.0
8,250,GNN-DQN,0.9627449411764706,0.4168674698795181,2400,300.0,9,0.001,0.99,-0.319753086419753,9.925462962962962,473,55.92600422832981,300.0,0.009754394388291985,0.0,0.0,0.0,0.0
9,250,GNN-DQN,0.9580861176470589,0.41927710843373495,2700,300.0,9,0.001,0.99,-0.34772654320987645,10.708055555555555,554,59.088447653429604,300.0,0.012719480671997492,0.0,0.0,0.0,0.0
10,250,GNN-DQN,0.953427294117647,0.42168674698795183,3000,300.0,9,0.001,0.99,-0.2868827160493826,8.912314814814815,498,52.91767068273092,300.0,0.014442035929920773,0.0,0.0,0.0,0.0
11,250,GNN-DQN,0.9487684705882353,0.4240963855421687,3300,300.0,9,0.001,0.99,-0.4047907407407407,12.411666666666669,447,57.727069351230426,300.0,0.01753207449102774,0.0,0.0,0.0,0.0
12,250,GNN-DQN,0.9441096470588235,0.42650602409638555,3600,300.0,9,0.001,0.99,-0.4194290123456792,12.901666666666667,417,52.25179856115108,300.0,0.019464292970175545,0.0,0.0,0.0,0.0
13,250,GNN-DQN,0.9394508235294118,0.42891566265060244,3900,300.0,9,0.001,0.99,-0.31553148148148125,9.699074074074074,504,58.91468253968254,300.0,0.024798104929116865,0.0,0.0,0.0,0.0
14,250,GNN-DQN,0.934792,0.43132530120481927,4200,300.0,9,0.001,0.99,-0.4540074074074074,13.943796296296295,464,53.38146551724138,300.0,0.028902571406215428,0.0,0.0,0.0,0.0
15,250,GNN-DQN,0.9301331764705882,0.43373493975903615,4500,300.0,9,0.001,0.99,-0.3889228395061731,12.103796296296297,473,59.82452431289641,300.0,0.035826223188390335,0.0,0.0,0.0,0.0
16,250,GNN-DQN,0.9254743529411764,0.43614457831325304,4800,300.0,9,0.001,0.99,-0.3501586419753087,10.788703703703705,434,52.72119815668203,300.0,0.03451733031154921,0.0,0.0,0.0,0.0
17,250,GNN-DQN,0.9208155294117647,0.43855421686746987,5100,300.0,9,0.001,0.99,-0.38813641975308644,12.01537037037037,413,51.37772397094431,300.0,0.0401737418025732,0.0,0.0,0.0,0.0
18,250,GNN-DQN,0.916156705882353,0.44096385542168676,5400,300.0,9,0.001,0.99,-0.40232160493827124,12.344351851851853,400,47.0825,300.0,0.045221845294969774,0.0,0.0,0.0,0.0
