episode,model_type,epsilon,global_step,agents,learning_rate,avg_reward,avg_queue,throughput,avg_travel_time,updates,loss,policy_loss,value_loss,time_of_day,global_congestion
0,DQN,1.0,200,16,0.001,-1200.4390625000005,4.6246875,1810.0,17.788950276243092,76.0,2.978011943792042,0.0,0.0,0.0,0.6875
1,DQN,0.9774999999999999,400,16,0.001,-1269.990625000001,4.8915625,1898.0,17.76923076923077,200.0,1.125047244131565,0.0,0.0,0.0,0.4375
2,DQN,0.955,600,16,0.001,-1240.1296875000003,4.7971875,1859.0,17.878429263044648,200.0,1.22023217856884,0.0,0.0,0.0,0.375
3,DQN,0.9325,800,16,0.001,-1221.6453124999994,4.70625,1804.0,18.072062084257205,200.0,1.1975436472892762,0.0,0.0,0.0,0.5
4,DQN,0.91,1000,16,0.001,-1203.1187500000005,4.624375,1863.0,17.161567364465917,200.0,1.1646745333075523,0.0,0.0,0.0,1.0625
5,DQN,0.8875,1200,16,0.0008,-1160.0640625000008,4.473125,1855.0,16.944474393530996,200.0,1.7692797911167144,0.0,0.0,0.0,0.4375
6,DQN,0.865,1400,16,0.0008,-1091.7046874999999,4.2125,1790.0,16.465921787709497,200.0,1.5629107642173767,0.0,0.0,0.0,0.6875
7,DQN,0.8424999999999999,1600,16,0.0008,-1138.3093749999996,4.3875,1830.0,16.768306010928963,200.0,1.7926405185461045,0.0,0.0,0.0,0.4375
8,DQN,0.8200000000000001,1800,16,0.0008,-1240.8687499999999,4.7721875,1858.0,17.847147470398276,200.0,1.9039101707935333,0.0,0.0,0.0,0.6875
9,DQN,0.7975,2000,16,0.0008,-1310.6859374999997,5.054375,1861.0,18.651262761955937,200.0,1.9113655322790146,0.0,0.0,0.0,0.4375
10,DQN,0.775,2200,16,0.00064,-1079.4125000000001,4.1684375,1842.0,16.08686210640608,200.0,2.1134900993108747,0.0,0.0,0.0,0.625
11,DQN,0.7525,2400,16,0.00064,-1115.3875000000003,4.301875,1811.0,16.594146880176698,200.0,2.058482829332352,0.0,0.0,0.0,0.9375
12,DQN,0.73,2600,16,0.00064,-1159.2624999999998,4.459375,1871.0,16.533404596472476,200.0,2.1522834169864655,0.0,0.0,0.0,0.6875
13,DQN,0.7075,2800,16,0.00064,-1229.3781250000006,4.731875,1911.0,17.21402407116693,200.0,2.197842450141907,0.0,0.0,0.0,0.1875
14,DQN,0.685,3000,16,0.00064,-1141.4609375,4.400625,1794.0,17.243032329988853,200.0,2.2062068217992783,0.0,0.0,0.0,0.75
15,DQN,0.6625,3200,16,0.0005120000000000001,-1186.7203124999999,4.5634375,1854.0,17.09492988133765,200.0,2.3208630901575087,0.0,0.0,0.0,0.4375
16,DQN,0.64,3400,16,0.0005120000000000001,-1185.6484374999995,4.5803125,1832.0,17.59825327510917,200.0,2.2868305432796476,0.0,0.0,0.0,0.5625
17,DQN,0.6174999999999999,3600,16,0.0005120000000000001,-1145.8625000000004,4.40875,1839.0,16.771071234366502,200.0,2.279470311999321,0.0,0.0,0.0,0.8125
18,DQN,0.5950000000000001,3800,16,0.0005120000000000001,-1213.1453124999994,4.68125,1841.0,17.72080391091798,200.0,2.2961873042583467,0.0,0.0,0.0,0.75
19,DQN,0.5725,4000,16,0.0005120000000000001,-1109.128125,4.2728125,1867.0,16.169255490091054,200.0,2.328988258242607,0.0,0.0,0.0,0.4375
