episode,model_type,epsilon,global_step,agents,learning_rate,avg_reward,avg_queue,throughput,avg_travel_time,updates,loss,policy_loss,value_loss,time_of_day,global_congestion
0,GAT-DQN,1.0,200,16,0.001,-1200.4390625000005,4.6246875,1810.0,17.788950276243092,76.0,2.572441113622565,0.0,0.0,0.0,0.6875
1,GAT-DQN,0.9774999999999999,400,16,0.001,-1266.2062500000009,4.87375,1893.0,17.826730058108822,200.0,1.944878153204918,0.0,0.0,0.0,0.4375
2,GAT-DQN,0.955,600,16,0.001,-1167.0921875000001,4.4921875,1862.0,17.003222341568208,200.0,2.0636030465364454,0.0,0.0,0.0,0.5625
3,GAT-DQN,0.9325,800,16,0.001,-1150.0437499999994,4.414375,1799.0,17.302946081156197,200.0,2.041264591217041,0.0,0.0,0.0,0.5
4,GAT-DQN,0.91,1000,16,0.001,-1136.2875,4.3690625,1856.0,16.55387931034483,200.0,1.8269785416126252,0.0,0.0,0.0,0.5625
5,GAT-DQN,0.8875,1200,16,0.0008,-1214.6937500000001,4.6884375,1857.0,17.640280021540118,200.0,2.2823009157180785,0.0,0.0,0.0,0.4375
6,GAT-DQN,0.865,1400,16,0.0008,-1082.0921875,4.1628125,1763.0,16.372093023255815,200.0,2.106081212759018,0.0,0.0,0.0,0.5625
7,GAT-DQN,0.8424999999999999,1600,16,0.0008,-1151.315625,4.4346875,1805.0,17.013850415512465,200.0,2.421377312541008,0.0,0.0,0.0,0.5
8,GAT-DQN,0.8200000000000001,1800,16,0.0008,-1186.8843749999996,4.560625,1870.0,17.15187165775401,200.0,2.543804571032524,0.0,0.0,0.0,0.8125
9,GAT-DQN,0.7975,2000,16,0.0008,-1174.2640625000001,4.5546875,1856.0,16.88685344827586,200.0,2.4823684972524642,0.0,0.0,0.0,0.9375
10,GAT-DQN,0.775,2200,16,0.00064,-1176.7531249999997,4.545625,1831.0,17.42654287274713,200.0,3.0013425946235657,0.0,0.0,0.0,0.75
11,GAT-DQN,0.7525,2400,16,0.00064,-1158.4671875000001,4.4709375,1809.0,17.012714206744057,200.0,2.8776640737056733,0.0,0.0,0.0,0.375
12,GAT-DQN,0.73,2600,16,0.00064,-1270.0437499999996,4.9209375,1909.0,17.71503404924044,200.0,3.1894153678417205,0.0,0.0,0.0,0.875
13,GAT-DQN,0.7075,2800,16,0.00064,-1289.5343750000006,4.9703125,1932.0,17.893374741200827,200.0,3.4879626858234407,0.0,0.0,0.0,0.875
14,GAT-DQN,0.685,3000,16,0.00064,-1249.0765624999997,4.8675,1815.0,18.689807162534436,200.0,3.4827154839038847,0.0,0.0,0.0,0.5625
15,GAT-DQN,0.6625,3200,16,0.0005120000000000001,-1183.0874999999996,4.5565625,1838.0,17.07943416757345,200.0,3.7972157895565033,0.0,0.0,0.0,0.375
16,GAT-DQN,0.64,3400,16,0.0005120000000000001,-1209.1265625000005,4.6615625,1834.0,17.738276990185387,200.0,3.816697053909302,0.0,0.0,0.0,0.4375
17,GAT-DQN,0.6174999999999999,3600,16,0.0005120000000000001,-1226.1578124999999,4.7240625,1841.0,17.373166757197176,200.0,4.0157398045063015,0.0,0.0,0.0,0.5625
18,GAT-DQN,0.5950000000000001,3800,16,0.0005120000000000001,-1199.3406249999994,4.630625,1843.0,17.746066196418884,200.0,4.243389519453049,0.0,0.0,0.0,0.3125
19,GAT-DQN,0.5725,4000,16,0.0005120000000000001,-1193.6609374999998,4.59,1874.0,17.185699039487726,200.0,4.16984263420105,0.0,0.0,0.0,0.625
