episode,model_type,epsilon,global_step,agents,learning_rate,avg_reward,avg_queue,throughput,avg_travel_time,updates,loss,policy_loss,value_loss,time_of_day,global_congestion
0,PPO-GNN,0.0,200,16,0.001,-1121.80625,4.328125,1821.0,16.59637561779242,1.0,0.0,-0.001908322170493193,9075.040771484375,0.0,0.6875
1,PPO-GNN,0.0,400,16,0.001,-1254.4453125,4.8421875,1891.0,17.530407191961924,1.0,0.0,-0.0051018609083257616,11312.2626953125,0.0,0.375
2,PPO-GNN,0.0,600,16,0.001,-1229.8078124999997,4.7359375,1883.0,17.770578863515667,1.0,0.0,-0.0009313973932876252,10955.78955078125,0.0,0.375
3,PPO-GNN,0.0,800,16,0.001,-1127.8968749999997,4.354375,1796.0,17.139198218262806,1.0,0.0,0.0005372962914407253,9177.5439453125,0.0,0.375
4,PPO-GNN,0.0,1000,16,0.001,-1123.65,4.3478125,1860.0,16.440860215053764,1.0,0.0,0.012161627411842346,8920.87744140625,0.0,0.9375
5,PPO-GNN,0.0,1200,16,0.0008,-1260.4875000000002,4.8553125,1824.0,18.63925438596491,1.0,0.0,0.016550392378121614,11347.20654296875,0.0,0.5
6,PPO-GNN,0.0,1400,16,0.0008,-1114.7156249999991,4.2865625,1763.0,16.687464549064096,1.0,0.0,0.005154790706001222,8631.6181640625,0.0,0.625
7,PPO-GNN,0.0,1600,16,0.0008,-1117.0687500000004,4.3225,1801.0,16.549694614103277,1.0,0.0,-0.004684644081862643,8658.20947265625,0.0,0.625
8,PPO-GNN,0.0,1800,16,0.0008,-1200.8046875000007,4.6240625,1845.0,17.195663956639567,1.0,0.0,-0.001648690813453868,10016.66455078125,0.0,0.5
9,PPO-GNN,0.0,2000,16,0.0008,-1250.6453124999998,4.810625,1883.0,17.8194370685077,1.0,0.0,0.007470989134162664,10641.6513671875,0.0,0.375
10,PPO-GNN,0.0,2200,16,0.00064,-1153.6765625,4.441875,1823.0,17.006034009873833,1.0,0.0,0.020758663304150105,8879.352294921875,0.0,0.625
11,PPO-GNN,0.0,2400,16,0.00064,-1183.9734374999998,4.5684375,1811.0,17.42573163997791,1.0,0.0,0.007140173533116467,9201.527099609375,0.0,0.5
12,PPO-GNN,0.0,2600,16,0.00064,-1252.7562499999995,4.840625,1880.0,17.606382978723403,1.0,0.0,-0.008146007428877056,10002.39306640625,0.0,0.75
13,PPO-GNN,0.0,2800,16,0.00064,-1277.3687500000008,4.928125,1946.0,17.696813977389517,1.0,0.0,-0.0013806102360831574,10429.679443359375,0.0,0.375
14,PPO-GNN,0.0,3000,16,0.00064,-1258.9656249999998,4.8803125,1816.0,18.76762114537445,1.0,0.0,0.010671224445104599,9833.111572265625,0.0,0.5625
15,PPO-GNN,0.0,3200,16,0.0005120000000000001,-1311.9328124999993,5.0709375,1856.0,18.685344827586206,1.0,0.0,0.011393658351153135,10296.00732421875,0.0,0.625
16,PPO-GNN,0.0,3400,16,0.0005120000000000001,-1228.7359375,4.7628125,1810.0,18.159116022099447,1.0,0.0,-0.0017967548192245886,8689.889282226562,0.0,0.375
17,PPO-GNN,0.0,3600,16,0.0005120000000000001,-1273.1656250000003,5.010625,1848.0,18.693722943722943,1.0,0.0,-0.005979966837912798,9086.00439453125,0.0,0.375
18,PPO-GNN,0.0,3800,16,0.0005120000000000001,-1249.6265625000003,4.8540625,1864.0,18.21244635193133,1.0,0.0,-0.006070383242331445,8440.912109375,0.0,0.625
19,PPO-GNN,0.0,4000,16,0.0005120000000000001,-1244.3828125000002,4.8003125,1873.0,17.86545648691938,1.0,0.0,-0.0030509839416481555,7846.4808349609375,0.0,0.375
